f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
35,North,A,Lucknow,21L2VIS13,32'',123'',ESML,,1,27.33333333,,1,Frontlit,Pillar,Mens Formal,Mens,
36,North,A,Lucknow,21L2VIS14,32'',138'',ESML,,1,30.66666667,,1,Frontlit,Pillar,Mens Denim,Mens,
37,North,A,Lucknow,21L2VIS15,32'',139'',ESML,,1,30.77777778,,1,Frontlit,Pillar,Mens Denim,Mens,
38,North,A,Lucknow,21L2VIS16,32'',123'',ESML,,1,27.33333333,,1,Frontlit,Pillar,Mens Denim,Mens,
39,North,A,Lucknow,21L3CC1,176'',76'',Backlit Fabric with silicon strip,,1,92.88888889,,2,Backlit ,Cash Counter,Ladies,Ladies,
40,North,A,Lucknow,21L3ODVIS2,154'',112'',ESML,,1,119.7777778,,2,Frontlit,Window,Ladies,Ladies,
41,North,A,Lucknow,21L3ODVIS3,140'',112'',ESML,,1,108.8888889,,2,Frontlit,Window,Ladies,Ladies,
42,North,A,Lucknow,21L3ODVIS4,321'',135'',ESML,,1,300.9375,,2,Frontlit,Façade,Ladies,Ladies,
43,North,A,Lucknow,21FFSV1,,,Need Recce,,,,,1,Frontlit,Sensomatic,Mens,Mens,
44,North,A,Lucknow,21SFSV1,29'',63'',Digital print on 5mm sunboard,"7.5""",2,12.36979167,,2,Frontlit,Sensomatic,Ladies,Ladies,
45,North,A,Lucknow,21L3VIS1,,,Need Recce,,,,,2,Frontlit,Pillar,Lingerie,Ladies,
46,North,A,Lucknow,21L3VIS2,,,Need Recce,,,,,2,Frontlit,Pillar,Lingerie,Ladies,
47,North,A,Lucknow,21L3VIS3,,,Need Recce,,,,,2,Frontlit,Pillar,Ladies Western,Ladies,
48,North,A,Lucknow,21L3VIS4,,,Actual,,,,,2,Frontlit,Pillar,Lingerie,Ladies,
49,North,A,Lucknow,21L1VIS2,27'',137'',ESML,,1,25.21180556,,0,Frontlit,Pillar,Watches,Non-apps,
50,North,A,Lucknow,21GFSV1,"32""","63""",VOSB,10,2,#VALUE!,,0,Frontlit,Sensomatic,Fragrance,Beauty,
51,North,A,Lucknow,21GFSV2,29'',63'',Digital print on 5mm sunboard,10,2,12.46875,,0,Frontlit,Sensomatic,Beauty,Beauty,
52,North,A,Lucknow,21GFSV3,18'',57'',Digital print on 5 mm sunboard,"5""",2,7.125,,0,Frontlit,Sensomatic,Beauty,Beauty,
53,North,A,Lucknow,21L1ODVIS2,141'',112'',ESML,,1,109.6666667,,0,Frontlit,Window,Non-apps,Non-apps,
54,North,A,Lucknow,21DS01,,,Need Recce,,,,,0,Digital,Cash Counter,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,North,C,Gaur Noida,259FFCC1,204'',71'',Backlit Fabric with Silion Strips,,1,99.875,,1,backlit,Cash Counter,Mens,Mens,
2,North,C,Gaur Noida,259FFSOH2,53'',113'',Backlit Fabric with Silion Strips,,1,41.54483611,,1,backlit,Pillar,UGS,Mens ,
3,North,C,Gaur Noida,259FFSOH3A,30'',63'',Backlit Fabric with Silion Strips,,1,13.3119,,1,backlit,Escalator,Mens Denim,Mens ,
4,North,C,Gaur Noida,259FFSOH3B,30'',63'',Backlit Fabric with Silion Strips,,1,13.3119,,1,backlit,Escalator,Mens Denim,Mens ,
5,North,C,Gaur Noida,259FFSOH4A,30'',63'',Backlit Fabric with Silion Strips,,1,13.3119,,1,backlit,Escalator,Mens Denim,Mens ,
6,North,C,Gaur Noida,259FFSOH4B,30'',63'',Backlit Fabric with Silion Strips,,1,13.3119,,1,backlit,Escalator,Mens Denim,Mens ,
7,North,C,Gaur Noida,259FFSOH5,30'',63'',Backlit Fabric with Silion Strips,,1,13.3119,,1,backlit,Escalator,Mens Denim,Mens ,
8,North,C,Gaur Noida,259FFSOH6,43'',117'',Backlit Fabric with Silion Strips,,1,35.05102361,,1,backlit,Pillar,Mens Denim,Mens,
9,North,C,Gaur Noida,259FFSOH7,51'',118'',Backlit Fabric with Silion Strips,,1,41.65838125,,1,backlit,Pillar,Mens Formal,Mens,
