,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category,Category,Comments
9,West,A,Aundh,273LGSV1,36'',51'',VOSB,,4,12.57291667,,-1,Frontlit,Sensomatic,Non-apps,Non-apps,,
10,West,A,Aundh,273LGSV2,35'',58'',VOSB,,3,13.89583333,,-1,Frontlit,Sensomatic,Non-apps,Non-apps,,
11,West,A,Aundh,273LGW1,311'',122'',ESML,,1,263.4861111,,-1,Frontlit,Window,Generic,Generic,,
12,West,A,Aundh,273GFSOH2,37'',110'',ESML,,1,28.26388889,,0,Frontlit,Pillar,Watches,Non-apps,,
13,West,A,Aundh,273GFSOH1,39'',112'',ESML,,1,30.33333333,,0,Frontlit,Pillar,Watches,Non-apps,,
14,West,A,Aundh,273GFSOH1A,,,Recce,,,,,0,Frontlit,Pillar,Watches,Non-apps,,
15,West,A,Aundh,273GFSOH1B,,,Recce,,,,,0,Frontlit,Pillar,Watches,Non-apps,,
16,West,A,Aundh,273GFSOH3,36'',107'',ESML,,1,26.75,,0,Frontlit,Pillar,Indian Wear,Ladies,,
17,West,A,Aundh,273GFSOH4,126'',62'',ESML,,,54.25,,0,Frontlit,Pillar,Watches,Non-apps,,
18,West,A,Aundh,273GFSOH5,44'',114'',Backlit Fabric with Silion Strips,,1,34.83333333,,0,Backlit,Stairway,Generic,Generic,,
19,West,A,Aundh,273GFSOH6,44'',114'',Backlit Fabric with Silion Strips,,1,34.83333333,,0,Backlit,Stairway,Generic,Generic,,
20,West,A,Aundh,273GFSOH7,44'',114'',Backlit Fabric with Silion Strips,,1,34.83333333,,0,Backlit,Stairway,Generic,Generic,,
21,West,A,Aundh,273GFSOH8,44'',114'',Backlit Fabric with Silion Strips,,1,34.83333333,,0,Backlit,Stairway,Generic,Generic,,
22,West,A,Aundh,273GFSOH9,35'',120'',Backlit Fabric with Silion Strips,,1,29.16666667,,0,Backlit,Pillar,Lingerie,Ladies,,
23,West,A,Aundh,273GFSOH10,,,Recce,,,,,0,Backlit,Stairway,Generic,Ladies,,
24,West,A,Aundh,273GFCC1,190'',75'',Backlit Fabric with Silion Strips,,1,98.03993056,,0,Backlit,Cash Counter,Non-apps,Non-apps,,
25,West,A,Aundh,273LGSOH2 (2vis),32'',105'',ESML,,2,23.33333333,,-1,Frontlit,Pillar,Mens Formal,Mens,,
26,West,A,Aundh,273LGSOH3 (2vis),,,Recce,,2,,,-1,Frontlit,Pillar,Mens Denim,Mens,,
27,West,A,Aundh,273LGSOH4 (2vis),,,Recce,,2,,,-1,Frontlit,Pillar,Mens Denim,Mens,,
28,West,A,Aundh,273LGSOH6,42'',105'',ESML,,1,30.625,,-1,Frontlit,Pillar,Ugs,Mens,,
29,West,A,Aundh,273LGSOH9,33'',116'',Backlit Fabric with Silion Strips,,1,26.58333333,,-1,Backlit,Pillar,Mens Denim,Mens,,
30,West,A,Aundh,273LGSOH10,33'',116'',Backlit Fabric with Silion Strips,,,26.18055556,,-1,Backlit,Pillar,Ladies Western,Ladies,,
31,West,A,Aundh,273LGSOH12,31'',105'',ESML,,1,22.60416667,,-1,Frontlit,Pillar,Ladies Western,Ladies,,
32,West,A,Aundh,273LGSOH13,33'',105'',ESML,,1,24.165625,,-1,Frontlit,Pillar,Ladies Western,Ladies,,
33,West,A,Aundh,273LGSOH14,38'',111'',ESML,,,29.29166667,,-1,Frontlit,Pillar,Ladies Western,Ladies,,
34,West,A,Aundh,273LGW2,28',10',Flex with wooden frame,,1,1.916666667,,-1,Frontlit,Window,Generic,Generic,,
35,West,A,Aundh,273LGW3,,,Recce,,,,,-1,Frontlit,Window,Generic,Generic,,
36,West,A,Aundh,273GFSV1,24'',54'',GB VINYL,"6.5""",4,9,,0,Frontlit,Sensomatic,Beauty,Beauty,,
37,West,A,Aundh,273GFSV2,24'',54'',VOSB,"6.5""",3,9,,0,Frontlit,Sensomatic,Non-apps,Non-apps,,
38,West,A,Aundh,273DS01,,,Digital Screen,,,,,0,Digital,Store Entrance,Generic,Generic,,
39,West,A,Aundh,273DS01,,,Digital Screen,,,,,0,Digital,Store Entrance,Generic,Generic,,
,,,,,,,,,,,,,,,,,,
1,West,C,Aurangabad,50GFSOH6,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Ladies ethnic,Ladies,,
2,West,C,Aurangabad,50GFSOH7,29'',102'',Backlit Fabric with Silion Strips,,1,20.1875,,0,Backlit,Pillar,Ladies ethnic,Ladies,,
3,West,C,Aurangabad,50GFSOH9,29'',102'',Backlit Fabric with Silion Strips,,1,20.84541667,,0,Backlit,Pillar,Kids,Kids,,
4,West,C,Aurangabad,50GFSOH12,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Kids,Kids,,
5,West,C,Aurangabad,50GFSOH13,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Kids,Kids,,
6,West,C,Aurangabad,50GFCC1,140'',57'',Backlit Fabric with Silion Strips,,1,55.21875,,0,Backlit,Cash Counter,Non-apps,Non-apps,,
